PLUG.ID,IMG,Treatment,Polyp,Treatment,Time,Red.Standard,Blue.Standard ,Green.Standard,Red.Coral,Blue.Coral,Green.Coral
1436,2,Light,3,1,t1,221.904,179.176,75.576,212.163,175.737,199.352
1779,2,Light,1,1,t1,221.904,179.176,75.576,176.692,89.326,151.718
1779,2,Light,2,1,t1,221.904,179.176,75.576,203.46,123.529,184.576
1779,2,Light,3,1,t1,221.904,179.176,75.576,202.29,116.729,178.807
2015,2,Light,1,1,t1,221.904,179.176,75.576,203.636,155.424,193.751
2015,2,Light,2,1,t1,221.904,179.176,75.576,195.515,154.852,189.227
2015,2,Light,3,1,t1,221.904,179.176,75.576,203.527,152.035,193.732
1606,2,Light,1,1,t1,221.904,179.176,75.576,134.3,59.946,104.227
1606,2,Light,2,1,t1,221.904,179.176,75.576,141.928,68.48,112.31
1606,2,Light,3,1,t1,221.904,179.176,75.576,131.964,55.128,102.969
1316,3,Light/Feed,1,2,t1,222.603,177.736,87.787,137.686,67.3,109.874
1316,3,Light/Feed,2,2,t1,222.603,177.736,87.787,116.846,49.051,88.074
1316,3,Light/Feed,3,2,t1,222.603,177.736,87.787,133.066,56.042,100.9
2303,3,Light/Feed,1,2,t1,222.603,177.736,87.787,186.892,131.953,166.502
2303,3,Light/Feed,2,2,t1,222.603,177.736,87.787,184.462,130.54,168.462
2303,3,Light/Feed,3,2,t1,222.603,177.736,87.787,182.371,131.219,166.446
1246,3,Light/Feed,1,2,t1,222.603,177.736,87.787,206.442,147.402,183.505
1246,3,Light/Feed,2,2,t1,222.603,177.736,87.787,200.322,141.825,175.386
1246,3,Light/Feed,3,2,t1,222.603,177.736,87.787,181.203,114.05,152.118
1756,3,Light/Feed,1,2,t1,222.603,177.736,87.787,130.428,78.146,103.038
1756,3,Light/Feed,2,2,t1,222.603,177.736,87.787,127.68,83.871,103.611
1756,3,Light/Feed,3,2,t1,222.603,177.736,87.787,138.422,86.314,86.314
2753,3,Light/Feed,1,2,t1,222.603,177.736,87.787,178.07,127.139,160.58
2753,3,Light/Feed,2,2,t1,222.603,177.736,87.787,185.484,124.108,161.497
2753,3,Light/Feed,3,2,t1,222.603,177.736,87.787,160.45,99.267,133.255
1353,3,Light/Feed,1,2,t1,222.603,177.736,87.787,140.107,56.697,105.174
1353,3,Light/Feed,2,2,t1,222.603,177.736,87.787,164.613,76.179,132.036
1353,3,Light/Feed,3,2,t1,222.603,177.736,87.787,131.717,43.117,100.218
2525,3,Light/Feed,1,2,t1,222.603,177.736,87.787,131.764,54.195,100.438
2525,3,Light/Feed,2,2,t1,222.603,177.736,87.787,183.039,88.451,144.089
2525,3,Light/Feed,3,2,t1,222.603,177.736,87.787,156.379,69.069,123.561
1275,3,Light/Feed,1,2,t1,222.603,177.736,87.787,149.869,99.708,133.983
1275,3,Light/Feed,2,2,t1,222.603,177.736,87.787,169.904,111.603,147.775
1275,3,Light/Feed,3,2,t1,222.603,177.736,87.787,166.514,112.251,150.23
1260,4,Light,1,1,t1,247.923,200.852,103.717,159.151,109.706,143.193
1260,4,Light,2,1,t1,247.923,200.852,103.717,157.851,112.427,142.93
1260,4,Light,3,1,t1,247.923,200.852,103.717,158.518,108.106,139.044
2863,4,Light,1,1,t1,247.923,200.852,103.717,144.018,74.234,116.559
2863,4,Light,2,1,t1,247.923,200.852,103.717,123.442,75.541,106.072
2863,4,Light,3,1,t1,247.923,200.852,103.717,142.42,99.259,131.133
1534,4,Light,1,1,t1,247.923,200.852,103.717,107.3,54.463,80.555
1534,4,Light,2,1,t1,247.923,200.852,103.717,117.278,65.21,89.386
1534,4,Light,3,1,t1,247.923,200.852,103.717,123.128,66.168,100.827
1235,4,Light,1,1,t1,247.923,200.852,103.717,193.431,136.929,171.829
1235,4,Light,2,1,t1,247.923,200.852,103.717,212.582,152.746,189.03
1235,4,Light,3,1,t1,247.923,200.852,103.717,190.479,140.969,172.507
1459,4,Light,1,1,t1,247.923,200.852,103.717,165.071,79.597,128.398
1459,4,Light,2,1,t1,247.923,200.852,103.717,190.507,114.989,164.191
1459,4,Light,3,1,t1,247.923,200.852,103.717,195.175,107.045,164.979
2164,4,Light,1,1,t1,247.923,200.852,103.717,163.337,86.617,128.772
2164,4,Light,2,1,t1,247.923,200.852,103.717,158.396,88.083,127.556
2164,4,Light,3,1,t1,247.923,200.852,103.717,195.549,111.835,164.125
1264,4,Light,1,1,t1,247.923,200.852,103.717,179.268,148.839,174.237
1264,4,Light,2,1,t1,247.923,200.852,103.717,160.289,96.26,140.826
1264,4,Light,3,1,t1,247.923,200.852,103.717,147.471,96.048,134.519
2861,4,Light,1,1,t1,247.923,200.852,103.717,138.899,77.445,112.478
2861,4,Light,2,1,t1,247.923,200.852,103.717,180.5,113.059,155.75
2861,4,Light,3,1,t1,247.923,200.852,103.717,209.713,164.681,195.522
1083,5,Light/Feed,1,2,t1,214.139,168.634,92.634,128.856,65.495,103.682
1083,5,Light/Feed,2,2,t1,214.139,168.634,92.634,115.505,56.146,92.352
1083,5,Light/Feed,3,2,t1,214.139,168.634,92.634,117.122,56.405,93.912
2882,5,Light/Feed,1,2,t1,214.139,168.634,92.634,75.182,31.366,57.848
2882,5,Light/Feed,2,2,t1,214.139,168.634,92.634,96.493,41.07,73.677
2882,5,Light/Feed,3,2,t1,214.139,168.634,92.634,87.32,32.226,65.624
1484,5,Light/Feed,1,2,t1,214.139,168.634,92.634,145.145,59.784,111.586
1484,5,Light/Feed,2,2,t1,214.139,168.634,92.634,183.072,95.493,150.047
1484,5,Light/Feed,3,2,t1,214.139,168.634,92.634,146.79,57.778,113.258
2513,5,Light/Feed,1,2,t1,214.139,168.634,92.634,159.335,87.414,139.395
2513,5,Light/Feed,2,2,t1,214.139,168.634,92.634,157.166,96.445,141.91
2513,5,Light/Feed,3,2,t1,214.139,168.634,92.634,137.08,67.347,109.803
2189,5,Light/Feed,1,2,t1,214.139,168.634,92.634,112.274,57.691,89.34
2189,5,Light/Feed,2,2,t1,214.139,168.634,92.634,117.22,62.992,93.6
2189,5,Light/Feed,3,2,t1,214.139,168.634,92.634,121.504,90.495,95.774
2184,5,Light/Feed,1,2,t1,214.139,168.634,92.634,150.619,87.394,134.345
2184,5,Light/Feed,2,2,t1,214.139,168.634,92.634,123.841,62.599,103.63
2184,5,Light/Feed,3,2,t1,214.139,168.634,92.634,162.734,105.041,149.055
2070,5,Light/Feed,1,2,t1,214.139,168.634,92.634,176.009,95.877,146.543
2070,5,Light/Feed,2,2,t1,214.139,168.634,92.634,178.962,99.137,147.532
2070,5,Light/Feed,3,2,t1,214.139,168.634,92.634,175.652,98.774,145.266
2410,5,Light/Feed,1,2,t1,214.139,168.634,92.634,183.797,117.616,159.156
2410,5,Light/Feed,2,2,t1,214.139,168.634,92.634,184.836,126.997,164.565
2410,5,Light/Feed,3,2,t1,214.139,168.634,92.634,189.315,130.996,169.695
2407,6,Dark,1,0,t1,198.064,151.109,92.223,96.642,69.202,85.182
2407,6,Dark,2,0,t1,198.064,151.109,92.223,103.352,65.014,91.189
2407,6,Dark,3,0,t1,198.064,151.109,92.223,72.561,62.749,69.197
2146,6,Dark,1,0,t1,198.064,151.109,92.223,74.414,27.691,58.933
2146,6,Dark,2,0,t1,198.064,151.109,92.223,72.271,29.572,58.287
2146,6,Dark,3,0,t1,198.064,151.109,92.223,81.026,32.797,65.797
2858,6,Dark,1,0,t1,198.064,151.109,92.223,130.937,67.354,108.671
